# (c) Der Bundeswahlleiter, Wiesbaden 2017
# 
# Wahl zum 19. Deutschen Bundestag (24. September 2017)
# Endgültige Ergebnisse der Erst- und Zweitstimmen sowie der Vorperiode nach Wahlkreisen
# 
Nr;Gebiet;gehört zu;Wahlberechtigte;;;;Wähler;;;;Ungültige;;;;Gültige;;;;Christlich Demokratische Union Deutschlands;;;;Sozialdemokratische Partei Deutschlands;;;;DIE LINKE;;;;BÜNDNIS 90/DIE GRÜNEN;;;;Christlich-Soziale Union in Bayern e.V.;;;;Freie Demokratische Partei;;;;Alternative für Deutschland;;;;Piratenpartei Deutschland;;;;Nationaldemokratische Partei Deutschlands;;;;FREIE WÄHLER;;;;PARTEI MENSCH UMWELT TIERSCHUTZ;;;;Ökologisch-Demokratische Partei;;;;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;;;;Bayernpartei;;;;Ab jetzt...Demokratie durch Volksabstimmung;;;;Partei der Vernunft;;;;Marxistisch-Leninistische Partei Deutschlands;;;;Bürgerrechtsbewegung Solidarität;;;;Sozialistische Gleichheitspartei, Vierte Internationale;;;;DIE RECHTE;;;;Allianz Deutscher Demokraten;;;;Allianz für Menschenrechte, Tier- und Naturschutz;;;;bergpartei, die überpartei;;;;Bündnis Grundeinkommen;;;;DEMOKRATIE IN BEWEGUNG;;;;Deutsche Kommunistische Partei;;;;Deutsche Mitte;;;;Die Grauen – Für alle Generationen;;;;Die Urbane. Eine HipHop Partei;;;;Magdeburger Gartenpartei;;;;Menschliche Welt;;;;Partei der Humanisten;;;;Partei für Gesundheitsforschung;;;;V-Partei³ - Partei für Veränderung, Vegetarier und Veganer;;;;Bündnis C - Christen für Deutschland;;;;DIE EINHEIT;;;;Die Violetten;;;;Familien-Partei Deutschlands;;;;Feministische Partei DIE FRAUEN;;;;Mieterpartei;;;;Neue Liberale – Die Sozialliberalen;;;;UNABHÄNGIGE für bürgernahe Demokratie;;;;Übrige;;;;
257;Ostallgäu;9;247539;244541;247539;244541;191581;167668;191581;167668;1692;1456;1412;1328;189889;166212;190169;166340;;;;;21610;25009;23044;24971;10153;4731;10387;5270;16537;10039;16214;11785;93430;99333;79932;91664;10627;2847;19898;7677;24018;6842;25384;7991;;3260;629;2904;;;532;1374;6445;5425;5112;4537;;;1553;1103;3813;3258;2789;2593;;;949;;2660;4808;2123;2913;;;;;;;;176;;;35;30;;;24;28;;;;;;;;;;;;;;;;;;;;;;;345;;;;219;;;;24;;;;424;;;;;;;;;;;;;;;;;;;;;;;;227;;;;325;;;;;;;;;;;;;199;;;;;;;;382;;;;;;;;;596;;;;;660;;743;
9;Bayern;99;9522371;9472738;9522371;9472738;7441006;6633726;7441006;6633726;69317;62423;47796;52971;7371689;6571303;7393210;6580755;;;;;1336404;1443710;1130931;1314009;384368;225218;450803;248920;661356;505800;722116;552818;3255487;3544079;2869688;3243569;477884;183259;751248;334158;773542;146714;916300;283570;10421;131872;26866;127934;583;59721;20611;56737;250119;192702;199198;180649;;;66218;46937;119103;84583;66801;68365;13205;2260;51607;;62622;28430;58037;57395;;;;;;339;;6840;2309;448;2213;1757;2130;1519;1284;1375;;;;;;;;;;;;;;;;;;;;;;;10394;;;;12073;;;;1213;;;;12689;;;;;;;;;;;;;;;;;;;;;;;;9529;;;;13391;;358;;;;;;;;670;1087;;8211;;;;;;;;12148;;;;;;;;;2458;;;;18670;19562;;35363;
;
258;Stuttgart I;8;194368;191191;194368;191191;160834;152546;160834;152546;1157;1298;849;1046;159677;151248;159985;151500;51118;63465;46243;56794;20512;25050;23350;31766;10409;5824;14830;9432;47430;41522;31283;26534;;;;;13399;3894;26203;12548;10646;4151;11455;6281;1438;3315;1006;4338;;673;114;506;;864;480;645;1576;;1063;860;721;697;498;528;1755;;1602;;;;;;;;;141;;;;91;215;;144;103;86;161;;79;;;;;;;14;;;;;;;;203;;;;;;;;404;;;;432;;;;53;;;;250;;;;;;;;;;;;;;;;136;;;;;;;;;;;;222;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;372;1632;;854;
259;Stuttgart II;8;182501;183064;182501;183064;139180;134355;139180;134355;1343;1520;1153;1314;137837;132835;138027;133041;46166;58222;40109;52323;25469;34690;23458;30469;12321;6633;12553;8902;21850;18505;21071;18341;;;;;11903;3594;19210;8920;14345;4497;14899;6047;1354;3064;991;3460;;1074;181;799;;1203;561;732;1807;;1286;846;613;;444;382;1549;;1394;;;;;;;;;153;;;;84;347;281;253;219;113;121;;44;;;;;;;27;;;;;;;;254;;;;;;;;403;;;;284;;;;43;;;;307;;;;;;;;;;;;;;;;149;;;;;;;;;;;;150;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;951;;1320;
260;Böblingen;8;245678;241596;245678;241596;196557;186565;196557;186565;2271;2356;1657;1846;194286;184209;194900;184719;75323;99752;68991;86453;38053;43803;30296;37047;9715;7473;10434;8080;23206;17245;24746;19091;;;;;24867;6352;29510;13170;21842;;22874;9432;;4393;1028;4060;;2525;487;1707;;2365;1429;1249;;;1361;1295;;;469;518;;;1262;;;;;;;;;448;;;;111;346;301;157;162;;;;85;;;;;;;55;;;;;;;;371;;;;;;;;244;;;;336;;;;26;;;;380;;;;;;;;;;;;;;;;215;;;;;;;;;;;;229;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;934;;;1811;
261;Esslingen;8;168715;166975;168715;166975;135479;129700;135479;129700;1361;1275;1094;1164;134118;128425;134385;128536;53665;65825;44748;57598;25697;32379;22579;28205;7853;4788;8361;5862;20501;14236;19565;15483;;;;;11657;2474;18512;7859;14390;3871;14692;5835;;2936;708;2871;;912;290;880;;;992;647;;;1243;1110;;;314;302;;;979;;;;;;;;;152;;;;89;355;;171;111;;;;18;;;;;;;27;;;;;;;;266;;;;;;;;223;;;;202;;;;8;;;;187;;;;;;;;;;;;;;;;140;;;;;;;;;;;;178;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1004;;1514;
262;Nürtingen;8;207044;205756;207044;205756;168052;160053;168052;160053;1765;1680;1443;1627;166287;158373;166609;158426;65566;80710;56105;72844;31655;40013;25190;31499;7978;5205;9132;6533;24540;15685;23673;18435;;;;;16390;3997;24922;10880;19833;5055;20544;7599;;3238;811;3602;;1201;373;1181;;1142;1189;915;;;1544;1233;;;411;476;;;1107;;;;;;;;;320;;;;99;325;;121;59;;;;10;;;;;;;68;;;;;;;;317;;;;;;;;226;;;;293;;;;15;;;;259;;;;;;;;;;;;;;;;148;;;;;;;;;;;;161;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2127;;2741;
263;Göppingen;8;178409;179130;178409;179130;137585;132632;137585;132632;2115;1921;1637;1529;135470;130711;135948;131103;50892;64095;45290;60058;29730;31646;23924;28435;5994;4710;6882;5569;16420;14010;16749;13275;;;;;12492;4393;17188;7646;19588;6891;19956;8259;;2557;801;2629;;1813;372;1599;;;907;530;;;1246;1000;;596;344;403;;;898;;;;;;;;;198;;;;115;354;;136;67;;;;17;;;;;;;43;;;;;;;;296;;;;;;;;187;;;;153;;;;25;;;;221;;;;;;;;;;;;;;;;158;;;;;;;;;;;;172;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1303;
264;Waiblingen;8;222891;221739;222891;221739;178340;171509;178340;171509;1933;2110;1447;1650;176407;169399;176893;169859;64958;87082;58372;77461;33898;38908;28146;34086;8626;6211;9881;7663;21542;17838;21539;17511;;;;;23568;6354;28617;13327;21863;6503;22870;9160;;3739;1092;3583;;2244;403;1783;;;1036;564;;;1555;1359;1661;;697;577;;;963;;;;;;;;;399;;;;118;291;;143;116;;;;16;;;;;;;25;;;;;;;;431;;;;;;;;222;;;;240;;;;21;;;;285;;;;;;;;;;;;;;;;168;;;;;;;;;;;;187;;;;;;;;;;;520;;;;;;;;;;;;;;;;;;;;;;;;;;2136;
265;Ludwigsburg;8;218074;215500;218074;215500;175304;167399;175304;167399;1769;2298;1317;1570;173535;165101;173987;165829;66430;83591;58003;73263;30971;34850;28547;35099;9487;7887;10451;7748;24702;22171;24000;19364;;;;;17691;5275;25538;11486;20157;;19780;8481;;4438;882;3640;;2307;333;1395;3644;3433;1503;1422;;;1274;1138;;1145;522;572;;;1229;;;;;;;;;210;;;;141;453;4;223;121;;;;21;;;;;;;42;;;;;;;;410;;;;;;;;276;;;;256;;;;23;;;;266;;;;;;;;;;;;;;;;182;;;;;;;;;;;;247;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1728;
266;Neckar-Zaber;8;229280;226751;229280;226751;186362;177134;186362;177134;1980;2854;1525;1876;184382;174280;184837;175258;73689;92693;60898;79372;36327;45962;30472;36849;8453;7697;9719;7271;23092;16474;24282;18551;;;;;16191;5404;27145;11799;23215;;24212;9703;;;771;3810;;3442;574;1921;3128;;1818;1051;;;1444;1350;;2608;555;705;;;1197;;;;;;;;;299;;;;179;287;;125;86;;;;79;;;;;;;66;;;;;;;;425;;;;;;;;222;;;;219;;;;12;;;;260;;;;;;;;;;;;;;;;212;;;;;;;;;;;;209;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2233;
267;Heilbronn;8;242553;241656;242553;241656;185705;173772;185705;173772;2595;2885;2419;2182;183110;170887;183286;171590;64591;87777;58755;78544;42455;46231;32489;37933;8448;7554;10520;8138;14920;12771;19016;14662;;;;;17566;6178;23872;10927;28575;;30089;9271;;4599;728;3789;;3905;835;2672;1896;;1281;771;;;1236;1250;1210;1469;758;731;2167;;1530;;;;;;;;;308;;;;166;302;403;181;126;;;;28;;;;;248;;141;;;;;;;;442;;;;;;;;200;;;;222;;;;24;;;;470;;;;;;;;;;;;;;;;271;;;;;;;;;;;;226;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;732;;;2274;
268;Schwäbisch Hall – Hohenlohe;8;225785;224384;225785;224384;171760;158389;171760;158389;1900;2624;1965;2156;169860;155765;169795;156233;68717;81427;58215;72835;31406;35728;27472;31230;7314;6626;9594;7535;21468;15569;20512;15641;;;;;14252;6128;21629;10355;22894;;24827;7799;1610;4226;870;3371;;3184;783;2119;;;896;608;;;1072;1143;1934;2877;1098;1188;;;979;;;;;;;;;278;;;;174;265;;121;81;;;;23;;;;;;;52;;;;;;;;380;;;;;;;;195;;;;190;;;;36;;;;363;;;;;;;;;;;;;;;;220;;;;;;;;;;;;291;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1853;
269;Backnang – Schwäbisch Gmünd;8;176968;175434;176968;175434;136717;130255;136717;130255;1916;2468;1406;1647;134801;127787;135311;128608;55595;70748;47588;62236;26971;31673;22298;26198;7581;5079;7999;5454;15216;10439;15482;11657;;;;;10882;3541;16717;7420;17788;;19438;7268;;3856;719;2761;489;2451;462;1587;;;690;433;;;1189;1011;;;465;424;;;859;;;;;;;;;245;;;;169;279;;91;76;;;;29;;;;;;;44;;;;;;;;248;;;;;;;;210;;;;205;;;;22;;;;265;;;;;;;;;;;;;;;;159;;;;;;;;;;;;161;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1640;
270;Aalen – Heidenheim;8;221853;222959;221853;222959;170191;162969;170191;162969;2605;2859;1975;2036;167586;160110;168216;160933;77752;92293;64217;79409;35164;39464;31341;35861;8678;7929;9233;7483;16123;12402;18427;13532;;;;;10218;2857;17707;7267;18447;;20616;7255;;4934;609;3118;822;;655;2166;;;1061;692;;;1217;1010;;;550;655;;;1000;;;;;;;;;282;;;;124;382;;125;49;;;;16;;;;;;;66;;;;;;;;321;;;;;;;;221;;;;188;;;231;79;;;;204;;;;;;;;;;;;;;;;206;;;;;;;;;;;;173;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2014;
271;Karlsruhe-Stadt;8;208868;205735;208868;205735;162139;150050;162139;150050;1633;1939;1228;1444;160506;148111;160911;148606;45821;58452;44776;55791;37924;43866;27044;33785;12155;7254;15452;8933;28268;20337;29408;22263;;;;;13829;4714;19251;8978;16073;5983;16741;8334;;5149;999;6009;;912;188;853;;992;600;724;2412;;1595;1111;;;438;423;2899;;2179;;;;;;;;;185;;;;116;250;;142;93;;;;34;;;;;151;;78;;;;;;;;346;;;;;;;;442;;;;505;;;;33;;;;263;;;;;;;;;;;;;;;;191;;;;;;;;;;;;240;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;724;452;;974;
272;Karlsruhe-Land;8;209741;209733;209741;209733;168801;159992;168801;159992;2061;2737;1675;1887;166740;157255;167126;158105;67396;83848;59137;73805;32886;40735;28591;33416;7627;5896;9119;6461;19076;12298;20489;15175;;;;;15138;4490;21441;9553;19512;;20887;9473;;4374;660;3761;;1853;309;1301;2657;2537;1475;1205;;;1479;1278;;;297;346;2261;;1420;;;;;;;;;258;;;;151;;;67;41;;;;16;;;;;187;;120;;;;;;;;429;;;;;;;;275;;;;261;;;;34;;;;244;;;;;;;;;;;;;;;;207;;;;;;;;;;;;185;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1224;;1865;
273;Rastatt;8;206484;207555;206484;207555;157208;148159;157208;148159;2318;2513;1960;2202;154890;145646;155248;145957;68259;77850;58798;71752;29486;33482;26374;30043;7123;5073;8369;6055;16954;12233;17766;13223;;;;;11150;4527;17847;8436;18849;7021;19701;8397;;3058;644;2906;;1642;313;1409;2809;;1496;751;;;1132;1076;;;266;280;;;921;;;;;;;;;329;;;;137;;;60;54;;;;12;;;;;148;;111;;;;;;;;385;;;;;;;;162;;;;208;;;;27;;;;295;;;;;;;;;;;;;;;;195;;;;;;;;;;;;178;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;112;760;;1097;
274;Heidelberg;8;217934;215943;217934;215943;179138;168177;179138;168177;1568;1858;1306;1771;177570;166319;177832;166406;58019;68061;53138;62331;46219;50850;32806;38915;10751;6892;14812;9413;29664;20392;30491;24601;;;;;11769;5180;22556;11626;15803;8143;16850;10219;1174;3430;734;4581;;1210;303;1136;1792;776;990;766;;;1151;1187;;663;386;405;2183;722;1780;;;;;;;;;188;;;;121;196;;83;44;;;;10;;;;;;;24;;;;;;;;389;;;;;;;;297;;;;388;;;;40;;;;199;;;;;;;;;;;;;;;;167;;;;;;;;;;;;248;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;863;
275;Mannheim;8;197289;198525;197289;198525;144078;137796;144078;137796;1504;2629;1355;2052;142574;135167;142723;135744;41812;53819;38746;47598;39795;43736;30309;37367;10493;8951;12989;10227;18739;16544;18803;15047;;;;;9835;3772;16050;7427;17833;;18309;8148;;4606;689;4287;;2514;381;1585;1444;;826;465;;;1552;1378;;;231;278;2337;955;1807;;;;;;;;;277;;;;100;286;270;160;120;;;;27;;;;;;;33;;;;;;;;414;;;;;;;;395;;;;311;;;;46;;;;240;;;;;;;;;;;;;;;;186;;;;;;;;;;;;246;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1413;
276;Odenwald – Tauber;8;210876;213424;210876;213424;163339;155585;163339;155585;2116;2300;2114;2339;161223;153285;161225;153246;75531;90624;64208;79516;30849;32696;27175;30269;8422;5158;8907;6379;11090;9019;13642;10984;;;;;11419;2807;17564;7956;21849;6280;22289;7994;;2968;564;3049;;2177;654;2023;;;1300;911;;;1282;1199;2063;1556;1102;1030;;;984;;;;;;;;;299;;;;141;;;43;34;;;;24;;;;;;;42;;;;;;;;387;;;;;;;;190;;;;140;;;;22;;;;323;;;;;;;;;;;;;;;;214;;;;;;;;;;;;193;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1438;
277;Rhein-Neckar;8;198251;197424;198251;197424;156402;147782;156402;147782;1986;2228;1748;2035;154416;145554;154654;145747;57788;72271;51797;63876;36886;37724;28486;32456;8010;5824;9738;6959;14792;12031;17687;13912;;;;;12571;3709;18933;9444;20177;6675;20942;8786;;3866;615;3909;;2040;534;1936;2255;;1381;932;;;1252;1255;;759;327;421;1937;;1376;;;;;;;;;267;;;;146;;;68;36;;;;18;;;;;;;70;;;;;;;;362;;;;;;;;194;;;;183;;;;15;;;;259;;;;;;;;;;;;;;;;194;;;;;;;;;;;;241;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;655;;1394;
278;Bruchsal – Schwetzingen;8;196426;195953;196426;195953;154622;145107;154622;145107;2264;2468;1932;2072;152358;142639;152690;143035;63166;73944;53147;66656;29684;35252;26560;30861;7016;5345;8674;6357;12641;9678;15500;11696;;;;;10255;3966;18180;8133;21960;6277;22794;8700;;3396;543;3556;;1716;470;1628;2824;1804;1667;1364;2991;;2045;1416;;;235;278;1498;;1289;;;;;;;;;272;;;;173;;;79;42;;;;22;;;;;240;;114;;;;;;;;354;;;;;;;;176;;;;216;;;;12;;;;214;;;;;;;;;;;;;;;;229;;;;;;;;;;;;192;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;83;1261;;1881;
279;Pforzheim;8;219577;219976;219577;219976;167977;159491;167977;159491;2004;2294;1897;2095;165973;157197;166080;157396;60476;77737;54364;70997;31611;36059;27101;31788;7730;6435;8952;7248;16016;12539;17869;14081;;;;;19760;9064;22643;11171;26172;8045;27107;11379;;3457;609;3405;;2502;446;2125;;1359;1138;1014;3892;;2536;1324;;;371;389;;;1171;;;;;;;;;317;;;;160;;;116;38;;;;15;;;;;168;;110;;;;;;;;352;;;;;;;;303;;;;201;;;;16;;;;269;;;;;;;;;;;;;;;;217;;;;;;;;;;;;189;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;148;;;1945;
280;Calw;8;198021;197679;198021;197679;153463;145151;153463;145151;1739;2442;1858;1881;151724;142709;151605;143270;65676;83514;56330;73263;25601;28892;21832;25285;6832;6094;7759;5948;13284;10036;14989;10946;;;;;14154;4072;21646;9194;21431;;22715;9013;969;3038;610;2642;;2107;496;1689;1596;2270;1137;1017;2008;;1391;995;;1164;451;524;;;725;;;;;;;;;257;;;;117;173;;90;39;;;;21;;;;;;;67;;;;;;;;287;;;;;;;;242;;;;159;;;;14;;;;323;;;;;;;;;;;;;;;;161;;;;;;;;;;;;181;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1522;;2320;
281;Freiburg;8;222308;219472;222308;219472;180854;168260;180854;168260;1480;1726;1319;1681;179374;166534;179535;166579;50256;58106;50423;59007;40647;50004;31452;36791;13172;8083;20168;13105;46115;34762;38002;33044;;;;;9546;3182;16725;8059;12984;4207;14103;6384;;3829;626;4973;;950;261;784;;1111;608;732;2890;;1958;1465;;;716;642;2538;;1846;;;;;;;;;261;;;;120;237;;137;77;;;;21;;;;;;;34;;;;;;;;275;;;;;;;;871;;;;560;;;;45;;;;257;;;;;;;;;;;;;;;;239;;;;;;;;;;;;229;;406;;;;;;;;;452;;;;;;;;;;;;;;;;;;;;;;;583;1848;;1114;
282;Lörrach – Müllheim;8;232208;229316;232208;229316;177399;164341;177399;164341;1882;2298;1695;2139;175517;162043;175704;162202;69148;81205;60513;70888;36986;39902;31249;35328;8854;6305;10898;7856;26244;19468;27014;20593;;;;;15271;3856;19449;9159;16854;5819;18459;8267;1958;3747;879;3594;;1741;419;1412;;;1187;738;;;1585;1393;;;469;410;;;1247;;;;;;;;;514;;;;151;;;162;50;;;;24;;;;;;;56;;;;;;;;472;;;;;;;;544;;;;276;;;;24;;;;321;;;;;;;;;;;;;;;;273;;;;;;;;;;;;208;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;202;;;1825;
283;Emmendingen – Lahr;8;218287;215623;218287;215623;168468;153869;168468;153869;2112;3254;2024;2600;166356;150615;166444;151269;62476;78797;59784;69272;39472;39772;29738;32131;8691;7002;9588;7016;18537;17368;22806;18293;;;;;14275;2742;17626;7749;18027;;19139;6823;;;705;3667;;1928;363;1176;;;1264;710;3180;;2105;1490;1698;3006;959;1087;;;959;;;;;;;;;363;;;;122;;;70;29;;;;26;;;;;;;33;;;;;;;;289;;;;;;;;284;;;;186;;;;15;;;;208;;;;;;;;;;;;;;;;150;;;;;;;;;;;;173;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1315;
284;Offenburg;8;205551;205119;205551;205119;155724;145259;155724;145259;2118;2386;2075;2437;153606;142873;153649;142822;73935;80083;57033;68973;26532;28862;25406;27448;8264;6083;8411;6762;19383;14111;21220;15311;;;;;9593;3063;16940;8140;15899;5563;17800;7743;;2836;651;3028;;1471;358;1318;;801;1301;852;;;1449;1244;;;380;350;;;959;;;;;;;;;332;;;;309;;;35;32;;;;14;;;;;;;49;;;;;;;;395;;;;;;;;239;;;;174;;;;27;;;;342;;;;;;;;;;;;;;;;233;;;;;;;;;;;;247;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;966;
285;Rottweil – Tuttlingen;8;199227;199241;199227;199241;152001;143449;152001;143449;1971;2519;1951;2281;150030;140930;150050;141168;64558;81517;57060;72998;23855;25044;21900;24757;5825;5290;7141;5601;14299;10546;15329;10385;;;;;16255;4714;20328;9025;19543;7112;20942;8214;;;567;2582;;2296;527;2080;1869;1992;1418;1383;;;893;968;1814;2419;1103;1250;;;788;;;;;;;;;353;;;;171;;;49;29;;;;27;;;;;;;44;;;;;;2012;;875;;;;;;;;213;;;;162;;;;28;;;;337;;;;;;;;;;;;;;;;178;;;;;;;;;;;;168;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1345;
286;Schwarzwald-Baar;8;165041;166191;165041;166191;125344;119181;125344;119181;1654;1815;1615;1836;123690;117366;123729;117345;58149;66505;46812;57912;20672;22211;19337;22414;5347;4144;6608;4860;12085;8984;15113;10613;;;;;10438;2946;15124;6933;14069;4603;15350;6697;;;464;2260;745;1963;590;1737;1405;1845;992;1084;;;1028;926;;586;305;375;;;688;;;;;;;;;229;;;;118;201;;99;57;;;;17;;;;;;;39;;;;;;;;324;;;;;;;;150;;;;119;;;;25;;;;236;;;;;;;;;;;;;;;;164;;;;;;;;;;;;162;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;579;3579;;1113;
287;Konstanz;8;205135;202393;205135;202393;158861;147557;158861;147557;1752;1907;1478;1741;157109;145650;157383;145816;70355;75524;52194;63563;26396;27956;24529;29504;11003;5980;11306;7295;21052;19322;25202;18446;;;;;11425;5476;20758;10735;15006;5852;16215;8027;;3198;639;3190;;1237;337;1116;;;988;649;;;1473;1180;;1105;456;661;1552;;1354;;;;;;;;;384;;;;101;;;82;43;;;;20;;;;;;;39;;;;;;;;346;;;;;;;;374;;;;303;;;;25;;;;357;;;;;;;;;;;;;;;;194;;;;;;;;;;;;212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;320;;;902;
288;Waldshut;8;177806;177313;177806;177313;136595;128808;136595;128808;1536;2367;1466;1772;135059;126441;135129;127036;56528;65009;53066;62610;32522;35359;22122;24130;6767;5613;7369;5482;16030;12768;18842;13987;;;;;8402;4184;14647;7307;12388;;13299;5979;;;432;2335;;1694;305;947;1414;;1117;890;;;1235;876;1008;1814;534;683;;;781;;;;;;;;;344;;;;95;;;22;30;;;;21;;;;;;;35;;;;;;;;309;;;;;;;;270;;;;188;;;;10;;;;219;;;;;;;;;;;;;;;;183;;;;;;;;;;;;144;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1320;
289;Reutlingen;8;199934;199091;199934;199091;157642;150014;157642;150014;1839;1883;1583;1992;155803;148131;156059;148022;63494;76870;53873;68394;23397;29859;23321;28558;9711;5966;9543;7089;22309;18399;21695;16195;;;;;15533;5665;21425;10441;18702;6435;20171;8245;;;639;3267;;1764;362;1517;;1119;856;875;;;1047;962;;794;459;505;1539;;1141;;;;;;;;;324;;;;110;244;296;154;139;;;;23;;;;;;;45;;;;;;;;318;;;;;;;;216;;;;209;;;;25;;;;206;;;;;;;;;;;;;;;;164;;;;;;;;;;;;190;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;874;964;;1378;
290;Tübingen;8;196488;193188;196488;193188;159801;149768;159801;149768;1615;1789;1391;1487;158186;147979;158410;148281;56446;69354;48828;61889;27325;30160;24865;30417;13862;9589;15096;9820;30197;24477;28521;21978;;;;;12504;3358;18718;8208;13684;5081;15887;6815;;4402;715;3979;;1558;326;1297;;;758;509;;;994;1053;;;629;589;2293;;1307;;;;;;;;;267;;;;113;285;;142;95;;;;30;;;;;;;34;;;;;;;;281;;;;;;;;282;;;;376;;;;52;;;;212;;;;;;;;;;;;;;;;171;;;;;;;;;;;;216;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1590;;;1222;
291;Ulm;8;222673;220702;222673;220702;177460;167199;177460;167199;2016;2153;1597;1731;175444;165046;175863;165468;74849;85984;64988;80370;35456;39321;27889;33432;8105;6012;9976;7087;20990;16041;24160;17023;;;;;14173;4371;20277;8662;18734;5989;20432;7839;2837;4320;1048;4075;;;499;1747;;1660;1275;1147;;;1412;1158;;;672;724;;;1258;;;;;;;;;342;;;;141;300;;102;114;;;;46;;;;;;;44;;;;;;;;385;;;;;;;;309;;;;274;;;;19;;;;370;;;;;;;;;;;;;;;;217;;;;;;;;;;;;257;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1348;;1561;
292;Biberach;8;167025;163772;167025;163772;131693;121718;131693;121718;1611;2131;1418;1630;130082;119587;130275;120088;57837;70540;56162;67567;22034;23786;16557;17814;4907;4013;5997;4075;17589;10754;14729;10887;;;;;9775;2567;14321;5851;14640;;16236;5072;;3411;609;2503;;;384;1062;1576;2558;1201;1516;;;923;825;1724;1958;1180;1166;;;620;;;;;;;;;273;;;;134;;;36;20;;;;28;;;;;;;39;;;;;;;;293;;;;;;;;224;;;;129;;;;16;;;;244;;;;;;;;;;;;;;;;219;;;;;;;;;;;;156;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1295;
293;Bodensee;8;172782;171016;172782;171016;137146;128696;137146;128696;1352;1930;1195;1487;135794;126766;135951;127209;56165;68333;50428;61961;24451;26105;19321;23125;7185;5749;8316;5629;18811;14224;20015;14955;;;;;11999;4955;17954;8086;14079;;14164;5689;;2825;462;2594;;1594;265;1091;1338;1566;1001;863;;;919;950;1412;1415;726;902;;;794;;;;;;;;;362;;;;98;;;58;51;;;;21;;;;;;;42;;;;;;;;260;;;;;;;;286;;;;208;;;;16;;;;278;;;;;;;;;;;;;;;;239;;;;;;;;;;;;199;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;354;;;832;
294;Ravensburg;8;186958;185006;186958;185006;146174;135877;146174;135877;1517;1630;1387;1371;144657;134247;144787;134506;55758;69312;56264;67251;17958;26909;19398;23266;7860;4424;8889;5770;29216;18298;21770;16571;;;;;14672;3320;16441;7047;13668;3674;14901;5200;;2761;496;2837;;1252;274;1164;2085;1192;1296;901;;;1007;951;2483;2782;1618;1982;;;768;;;;;;;;;320;;;;103;131;;56;60;;;;23;;;;;;;41;;;;;;;;289;;;;;;;;254;;;;167;;;;19;;;;217;;;;;;;;;;;;;;652;;457;;;;;;;;;;;;165;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;174;323;;1060;
295;Zollernalb – Sigmaringen;8;183588;184370;183588;184370;139548;132905;139548;132905;2354;2714;1821;1844;137194;130191;137727;131061;61694;78966;52284;69176;19716;23684;19446;22447;6450;5460;7061;5359;17489;10802;15798;11008;;;;;12695;3069;18394;7393;18609;;18814;6161;;;590;2746;;2756;519;1854;;3716;1018;1222;;;1182;1012;;1194;378;543;;;722;;;;;;;;;282;;;;161;541;544;173;198;;;;37;;;;;;;41;;;;;;;;326;;;;;;;;222;;;;118;;;;14;;;;245;;;;;;;;;;;;;;;;206;;;;;;;;;;;;176;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1462;
